y1,y2,y3,y4,y5,y6,y7,y8,y9
2,PICAPE LEVE,MG,44,M,Casado,34477,"0,81",0
10,SEDAN,SP,45,M,Casado,20882,"0,82",0
1,HATCH,SP,25,F,Solteiro,16663,"0,79",0
1,SEDAN,MG,49,M,Casado,41486,"0,82",0
7,HATCH,MG,57,M,Casado,20908,"0,79",0
5,HATCH,RJ,31,F,Casado,19623,"0,58",0
3,SEDAN,RJ,32,F,Casado,77545,"0,30",0
10,MONOVOLUME,SP,38,F,Casado,23391,"0,82",0
10,SUV,SC,53,F,Casado,64680,"0,76",0
10,SEDAN,SP,64,F,Solteiro,15156,"0,80",0
5,SEDAN,SP,68,M,Casado,82528,"0,83",1
10,PICAPE LEVE,SP,67,M,Casado,29212,"0,82",0
3,HATCH,SP,67,M,Casado,35722,"0,80",0
8,HATCH,SP,48,M,Solteiro,23328,"0,80",0
10,HATCH,SC,32,F,Solteiro,17041,"0,64",0
10,SEDAN,SP,55,F,Casado,81422,"0,77",0
10,SEDAN,SP,52,M,Casado,23487,"0,80",0
0,SEDAN,SP,59,M,Casado,38328,"0,08",0
10,SUV,RJ,63,M,Casado,58813,"0,78",0
3,MONOVOLUME,RS,35,F,Casado,40275,"0,80",0
10,SEDAN,SP,37,M,Casado,59894,"0,76",0
10,SEDAN,SP,45,F,Viuvo,64766,"0,78",0
10,SEDAN,SP,62,M,Casado,41890,"0,37",0
6,MONOVOLUME,RN,58,F,Casado,48021,"0,80",1
3,SEDAN,RS,72,M,Casado,45652,"0,01",0
5,HATCH,RS,57,F,Casado,49511,"0,76",0
1,MONOVOLUME,BA,63,F,Casado,57109,"0,81",0
9,SEDAN,SP,50,M,Divorciado,71278,"0,05",0
8,PICAPE LEVE,SP,39,F,Casado,9290,"0,78",0
8,HATCH,SP,39,M,Casado,21032,"0,80",0
3,HATCH,SP,35,F,Casado,12870,"0,81",0
10,SUV,SP,41,M,Casado,31284,"0,76",1
10,SUV,SP,76,M,Casado,54221,"0,02",0
8,HATCH,RN,28,M,Solteiro,32126,"0,77",0
9,HATCH,SP,65,F,Divorciado,28321,"0,82",0
3,HATCH,SP,67,M,Casado,11830,"0,77",0
4,HATCH,SP,34,M,Solteiro,70215,"0,82",0
10,HATCH,SP,64,M,Casado,18677,"0,82",0
4,HATCH,PR,58,M,Casado,33650,"0,83",0
2,HATCH,SP,31,M,Casado,28439,"0,16",0
2,SEDAN,SP,60,M,Casado,28903,"0,81",0
10,SEDAN,SP,67,F,Casado,57880,"0,28",0
10,HATCH,SP,36,F,Solteiro,11153,"0,80",0
10,SEDAN,SP,47,F,Solteiro,33023,"0,03",0
7,SEDAN,PR,31,M,Casado,77545,"0,04",0
10,SEDAN,SP,54,M,Casado,34624,"0,81",0
10,MONOVOLUME,SP,34,F,Casado,20345,"0,83",0
10,STATION WAGON,PR,41,F,Divorciado,26257,"0,67",1
8,HATCH,SP,38,F,Casado,24668,"0,27",0
6,HATCH,SP,56,F,Casado,22401,"0,79",0
10,SEDAN,SP,43,M,Casado,39876,"0,01",0
8,SUV,SP,48,M,Casado,36093,"0,83",0
6,SEDAN,SP,57,M,Casado,38848,"0,16",0
10,HATCH,RJ,64,M,Casado,18999,"0,65",0
5,HATCH,SP,55,F,Casado,33650,"0,21",0
9,PICAPE LEVE,SP,30,M,Casado,26177,"0,81",0
10,HATCH,SP,38,M,Divorciado,23898,"0,80",0
9,PICAPE PESADA,SP,37,M,Casado,61593,"0,77",1
3,HATCH,SC,20,F,Solteiro,19350,"0,79",0
5,HATCH,SE,34,F,Solteiro,34337,"0,76",0
1,MONOVOLUME,BA,46,M,Casado,39614,"0,84",0
2,HATCH,SP,37,M,Solteiro,19009,"0,39",1
5,SUV,SP,63,F,Casado,24516,"0,52",0
2,HATCH,SP,35,M,Casado,24914,"0,76",0
2,HATCH,RS,38,M,Casado,14463,"0,77",0
4,SEDAN,RJ,37,F,Casado,48541,"0,22",0
8,SUV,SP,39,F,Casado,48888,"0,82",0
10,SEDAN,SP,59,M,Casado,22967,"0,82",0
10,SUV,SP,46,M,Casado,126915,"0,60",0
10,SUV,SP,50,M,Casado,30009,"0,01",0
10,SUV,SP,50,F,Casado,52524,"0,77",0
1,STATION WAGON,MG,25,M,Solteiro,21378,"0,76",0
10,HATCH,PA,73,M,Casado,20100,"0,76",0
10,SEDAN,SP,61,M,Casado,25102,"0,80",0
1,SEDAN,SP,50,F,Casado,37241,"0,79",2
0,HATCH,PR,39,F,Casado,45410,"0,69",0
10,SEDAN,SC,51,M,Casado,59034,"0,76",0
10,SEDAN,SP,56,F,Casado,18174,"0,17",0
3,SEDAN,SP,31,M,Solteiro,15742,"0,76",0
2,SEDAN,SP,53,M,Casado,59894,"0,54",0
2,PICAPE LEVE,PR,64,M,Casado,34760,"0,81",0
8,HATCH,CE,61,M,Casado,45089,"0,82",0
1,SEDAN,SP,32,M,Casado,32538,"0,82",0
7,MONOVOLUME,SC,61,F,Casado,23889,"0,10",0
