tipo	idade	sexo	civil	valor	expos	nsinist
hatch	47	F	Solteiro	38.049	0.81	0
hatch	58	M	Casado	42.012	0.67	2
sedan	61	M	Casado	25.176	0.8	0
hatch	84	F	Viuvo	33.791	0.8	0
hatch	65	M	Casado	45.387	0.8	1
suv	61	M	Casado	69.299	0.77	0
mono	53	M	Casado	28.196	0.78	0
hatch	43	F	Casado	21.251	0.77	0
hatch	69	M	Casado	23.386	0.84	0
hatch	39	F	Casado	25.92	0.34	0
hatch	64	M	Casado	34.225	0.79	0
mono	44	F	Casado	24.774	0.82	0
mono	72	M	Casado	23.391	0.79	0
hatch	54	F	Casado	15.284	0.8	0
sedan	54	F	Casado	17.704	0.8	0
mono	24	F	Solteiro	47.235	0.82	0
suv	60	F	Casado	45.408	0.17	0
mono	45	M	Casado	45.876	0.8	0
hatch	75	M	Casado	40.11	0.41	0
sedan	63	M	Casado	35.159	0.76	0
suv	46	M	Casado	100.848	0.59	0
sedan	40	F	Solteiro	23.944	0.76	0
sedan	46	M	Casado	56.078	0.77	0
hatch	55	M	Casado	8.488	0.67	0
sedan	49	M	Casado	41.428	0.78	0
hatch	28	M	Solteiro	15.952	0.82	0
sedan	66	M	Casado	32.796	0.8	0
hatch	49	M	Casado	30.02	0.5	0
mono	48	F	Divorciado	32.12	0.74	0
sedan	44	F	Solteiro	16.463	0.81	0
hatch	30	F	Casado	30.873	0.76	0
hatch	57	M	Solteiro	26.93	0.82	0
hatch	61	M	Casado	22.401	0.75	0
hatch	49	M	Casado	22.636	0.82	0
suv	61	M	Casado	54.51	0.78	0
suv	64	M	Casado	57.457	0.76	0
suv	66	F	Viuvo	51.21	0.81	0
mono	34	M	Casado	33.697	0.77	0
hatch	42	M	Casado	43.05	0.32	0
wagon	41	M	Casado	19.448	0.82	0
hatch	47	F	Solteiro	16.068	0.81	0
sedan	58	M	Casado	59.696	0.76	0
suv	63	F	Casado	117.873	0.21	0
hatch	34	M	Casado	50.006	0.81	0
mono	42	F	Casado	23.889	0.83	0
hatch	60	M	Casado	13.376	0.2	0
hatch	51	F	Solteiro	36.803	0.31	0
hatch	64	M	Casado	41.649	0.79	0
sedan	59	M	Casado	31.642	0.81	0
sedan	27	F	Solteiro	50.344	0.77	0
mono	25	F	Casado	21.281	0.09	0
picape	58	F	Casado	38.707	0.42	0
sedan	46	M	Casado	16.6	0.79	0
suv	53	M	Casado	39.356	0.01	0
hatch	22	F	Solteiro	33.8	0.36	0
sedan	29	F	Casado	43.962	0.79	0
sedan	68	F	Casado	25.844	0.78	0
suv	40	M	Casado	62.205	0.82	0
suv	47	M	Casado	31.419	0.76	0
sedan	28	M	Solteiro	26.95	0.43	0
picape	44	M	Casado	34.477	0.81	0
sedan	45	M	Casado	20.882	0.82	0
hatch	25	F	Solteiro	16.663	0.79	0
sedan	49	M	Casado	41.486	0.82	0
hatch	57	M	Casado	20.908	0.79	0
hatch	31	F	Casado	19.623	0.58	0
sedan	32	F	Casado	77.545	0.3	0
mono	38	F	Casado	23.391	0.82	0
suv	53	F	Casado	64.68	0.76	0
sedan	64	F	Solteiro	15.156	0.8	0
sedan	68	M	Casado	82.528	0.83	1
picape	67	M	Casado	29.212	0.82	0
hatch	67	M	Casado	35.722	0.8	0
hatch	48	M	Solteiro	23.328	0.8	0
hatch	32	F	Solteiro	17.041	0.64	0
sedan	55	F	Casado	81.422	0.77	0
sedan	52	M	Casado	23.487	0.8	0
sedan	59	M	Casado	38.328	0.08	0
suv	63	M	Casado	58.813	0.78	0
