period	repart	corled	gaiola	dia	ovos
2	5	vrd	2	14	8
2	5	vrd	3	14	8
2	5	vrd	4	14	8
2	5	vrd	5	14	8
2	5	vrd	6	14	5
3	1	azl	1	1	8
3	1	azl	2	1	7
3	1	azl	3	1	8
3	1	azl	4	1	9
3	1	azl	5	1	7
3	1	azl	6	1	6
3	2	vrd	1	1	6
3	2	vrd	2	1	9
3	2	vrd	3	1	10
3	2	vrd	4	1	7
3	2	vrd	5	1	7
3	2	vrd	6	1	7
3	3	brn	1	1	9
3	3	brn	2	1	8
3	3	brn	3	1	7
3	3	brn	4	1	8
3	3	brn	5	1	7
3	3	brn	6	1	7
3	4	vrm	1	1	8
3	4	vrm	2	1	8
3	4	vrm	3	1	7
3	4	vrm	4	1	7
3	4	vrm	5	1	9
3	4	vrm	6	1	8
3	5	amr	1	1	8
3	5	amr	2	1	8
3	5	amr	3	1	7
3	5	amr	4	1	7
3	5	amr	5	1	9
3	5	amr	6	1	8
3	1	azl	1	2	8
3	1	azl	2	2	7
3	1	azl	3	2	6
3	1	azl	4	2	8
3	1	azl	5	2	9
3	1	azl	6	2	2
3	2	vrd	1	2	8
3	2	vrd	2	2	7
3	2	vrd	3	2	9
3	2	vrd	4	2	7
3	2	vrd	5	2	8
3	2	vrd	6	2	4
3	3	brn	1	2	8
3	3	brn	2	2	6
3	3	brn	3	2	8
3	3	brn	4	2	7
3	3	brn	5	2	7
3	3	brn	6	2	7
3	4	vrm	1	2	10
3	4	vrm	2	2	9
3	4	vrm	3	2	9
3	4	vrm	4	2	8
3	4	vrm	5	2	8
3	4	vrm	6	2	7
3	5	amr	1	2	8
3	5	amr	2	2	6
3	5	amr	3	2	9
3	5	amr	4	2	8
3	5	amr	5	2	8
3	5	amr	6	2	8
3	1	azl	1	3	9
3	1	azl	2	3	7
3	1	azl	3	3	7
3	1	azl	4	3	7
3	1	azl	5	3	8
3	1	azl	6	3	5
3	2	vrd	1	3	10
3	2	vrd	2	3	9
